"game_id","home_team","away_team","abs_spread","div_game","reg_playoff","penalty_count"
"2019_09_NYJ_MIA","MIA","NYJ",3.5,1,"REG",16
"2019_09_SF_ARI","ARI","SF",10.5,1,"REG",17
"2019_09_TB_SEA","SEA","TB",4,0,"REG",14
"2019_09_TEN_CAR","CAR","TEN",3.5,0,"REG",17
"2019_09_WAS_BUF","BUF","WAS",10.5,0,"REG",5
"2019_10_ARI_TB","TB","ARI",5.5,0,"REG",20
"2019_10_ATL_NO","NO","ATL",14,1,"REG",19
"2019_10_BAL_CIN","CIN","BAL",10.5,1,"REG",6
"2019_10_BUF_CLE","CLE","BUF",3,0,"REG",11
"2019_10_CAR_GB","GB","CAR",5,0,"REG",15
"2019_10_DET_CHI","CHI","DET",6,1,"REG",15
"2019_10_KC_TEN","TEN","KC",5,0,"REG",17
"2019_10_LA_PIT","PIT","LA",4,0,"REG",23
"2019_10_LAC_OAK","LV","LAC",1,1,"REG",20
"2019_10_MIA_IND","IND","MIA",11,0,"REG",7
"2019_10_MIN_DAL","DAL","MIN",3.5,0,"REG",10
"2019_10_NYG_NYJ","NYJ","NYG",3,0,"REG",13
"2019_10_SEA_SF","SF","SEA",6.5,1,"REG",14
"2019_11_ARI_SF","SF","ARI",10,1,"REG",20
"2019_11_ATL_CAR","CAR","ATL",3.5,1,"REG",11
"2019_11_BUF_MIA","MIA","BUF",7,1,"REG",11
"2019_11_CHI_LA","LA","CHI",5,0,"REG",8
"2019_11_CIN_OAK","LV","CIN",13,0,"REG",11
"2019_11_DAL_DET","DET","DAL",7.5,0,"REG",17
"2019_11_DEN_MIN","MIN","DEN",10,0,"REG",11
"2019_11_HOU_BAL","BAL","HOU",4,0,"REG",13
"2019_11_JAX_IND","IND","JAX",2.5,1,"REG",11
"2019_11_KC_LAC","LAC","KC",5.5,1,"REG",17
"2019_11_NE_PHI","PHI","NE",4.5,0,"REG",13
"2019_11_NO_TB","TB","NO",5,1,"REG",16
"2019_11_NYJ_WAS","WAS","NYJ",1,0,"REG",16
"2019_11_PIT_CLE","CLE","PIT",3,1,"REG",14
"2019_12_BAL_LA","LA","BAL",3.5,0,"REG",16
"2019_12_CAR_NO","NO","CAR",10,1,"REG",15
"2019_12_DAL_NE","NE","DAL",5.5,0,"REG",13
"2019_12_DEN_BUF","BUF","DEN",3.5,0,"REG",19
