"fg_result","distance","wind","rain"
1,31,NA,FALSE
1,43,NA,FALSE
1,47,NA,FALSE
1,28,NA,FALSE
1,31,NA,FALSE
1,32,20,FALSE
1,44,20,FALSE
1,44,20,FALSE
0,49,20,FALSE
1,44,NA,FALSE
1,41,NA,FALSE
1,21,NA,FALSE
1,45,NA,FALSE
1,47,NA,FALSE
1,32,15,FALSE
0,55,15,FALSE
1,35,15,FALSE
1,37,15,FALSE
1,57,3,FALSE
1,36,3,FALSE
1,37,3,FALSE
1,21,3,FALSE
1,44,3,FALSE
1,35,NA,FALSE
1,42,NA,FALSE
1,48,NA,FALSE
1,53,NA,FALSE
1,38,NA,FALSE
0,50,12,FALSE
1,35,12,FALSE
1,29,12,FALSE
1,30,13,FALSE
1,37,13,FALSE
1,29,6,FALSE
1,50,6,FALSE
1,50,6,FALSE
1,44,6,FALSE
1,24,NA,FALSE
1,28,NA,FALSE
1,47,NA,FALSE
1,29,NA,FALSE
1,48,NA,FALSE
1,35,NA,FALSE
0,52,8,FALSE
1,48,8,FALSE
1,29,8,FALSE
0,48,6,FALSE
1,20,6,FALSE
0,48,6,FALSE
1,39,6,FALSE
1,26,NA,FALSE
1,46,NA,FALSE
1,33,NA,FALSE
1,54,13,FALSE
1,34,13,FALSE
1,43,13,FALSE
1,39,13,FALSE
1,39,13,FALSE
1,24,13,FALSE
1,33,13,FALSE
1,45,2,FALSE
1,40,2,FALSE
1,44,15,FALSE
1,47,15,FALSE
1,46,15,FALSE
1,44,15,FALSE
0,53,10,FALSE
1,50,10,FALSE
1,48,10,FALSE
0,51,0,FALSE
1,28,0,FALSE
1,24,0,FALSE
0,43,0,FALSE
1,35,0,FALSE
1,30,4,FALSE
1,49,4,FALSE
1,34,4,FALSE
1,41,4,FALSE
1,47,NA,FALSE
1,23,NA,FALSE
1,59,NA,FALSE
1,31,NA,FALSE
1,46,NA,FALSE
1,32,NA,FALSE
1,45,NA,FALSE
1,40,3,FALSE
1,29,3,FALSE
1,47,NA,FALSE
0,54,NA,FALSE
1,22,NA,FALSE
1,54,NA,FALSE
1,33,5,FALSE
1,27,4,FALSE
1,39,4,FALSE
1,31,4,FALSE
1,50,4,FALSE
0,40,4,FALSE
0,38,4,FALSE
1,37,9,FALSE
1,35,9,FALSE
0,47,9,FALSE
0,42,13,FALSE
1,32,13,FALSE
1,22,13,FALSE
0,46,7,FALSE
1,30,7,FALSE
0,40,7,FALSE
1,36,7,FALSE
1,35,6,FALSE
1,23,6,FALSE
1,47,12,FALSE
1,21,12,FALSE
1,31,12,FALSE
0,49,12,FALSE
1,29,12,FALSE
0,54,12,FALSE
1,36,12,FALSE
1,28,NA,FALSE
0,45,NA,FALSE
1,62,NA,FALSE
1,21,NA,FALSE
1,26,NA,FALSE
1,44,8,FALSE
0,39,8,FALSE
0,40,8,FALSE
1,22,NA,FALSE
1,33,NA,FALSE
1,44,0,FALSE
1,40,0,FALSE
1,42,0,FALSE
1,29,0,FALSE
0,48,NA,FALSE
1,43,NA,FALSE
1,44,NA,FALSE
1,23,NA,FALSE
0,48,7,TRUE
1,41,10,FALSE
1,43,10,FALSE
1,24,10,FALSE
1,45,10,FALSE
1,41,8,FALSE
1,26,8,FALSE
1,32,8,FALSE
1,53,8,FALSE
1,49,8,FALSE
1,40,8,FALSE
1,25,NA,FALSE
1,36,NA,FALSE
1,34,NA,FALSE
0,32,5,FALSE
1,33,5,FALSE
1,48,5,FALSE
1,46,3,FALSE
1,24,3,FALSE
1,34,2,FALSE
1,38,2,FALSE
1,50,2,FALSE
1,27,2,FALSE
1,23,2,FALSE
1,40,2,FALSE
1,51,5,FALSE
1,34,5,FALSE
1,41,5,FALSE
1,36,5,FALSE
1,40,5,FALSE
1,37,5,FALSE
0,53,5,FALSE
1,28,11,FALSE
1,33,11,FALSE
1,45,11,FALSE
1,48,11,FALSE
1,36,11,FALSE
1,21,10,FALSE
1,24,10,FALSE
1,28,10,FALSE
1,35,10,FALSE
0,48,6,TRUE
1,22,6,TRUE
1,46,12,FALSE
1,33,12,FALSE
1,33,12,FALSE
1,41,12,FALSE
1,36,12,FALSE
1,50,7,FALSE
1,39,7,FALSE
1,24,5,FALSE
0,53,5,FALSE
1,35,5,FALSE
1,38,5,FALSE
0,65,5,FALSE
1,56,5,FALSE
0,43,12,FALSE
1,35,12,FALSE
1,41,12,FALSE
1,24,12,FALSE
0,37,5,FALSE
1,33,5,FALSE
1,30,5,FALSE
1,23,5,FALSE
1,37,9,FALSE
1,51,9,FALSE
1,31,9,FALSE
1,43,14,TRUE
0,58,14,TRUE
1,45,14,TRUE
0,45,8,FALSE
1,42,8,FALSE
1,29,8,FALSE
1,38,8,FALSE
1,33,8,FALSE
1,30,5,FALSE
1,47,5,FALSE
1,35,5,FALSE
0,47,9,FALSE
0,56,9,FALSE
1,26,9,FALSE
1,54,8,FALSE
0,36,8,FALSE
1,28,8,FALSE
1,29,8,FALSE
1,32,8,FALSE
1,36,NA,FALSE
0,54,NA,FALSE
0,57,NA,FALSE
1,21,NA,FALSE
1,47,NA,FALSE
1,35,NA,FALSE
1,48,NA,FALSE
1,24,NA,FALSE
1,29,NA,FALSE
1,40,NA,FALSE
1,27,NA,FALSE
1,49,NA,FALSE
1,30,NA,FALSE
1,43,NA,FALSE
0,50,NA,FALSE
1,37,NA,FALSE
1,45,NA,FALSE
1,59,NA,FALSE
0,52,NA,FALSE
1,20,NA,FALSE
1,50,9,FALSE
1,42,9,FALSE
1,40,9,FALSE
1,33,9,FALSE
1,46,9,FALSE
1,36,5,FALSE
1,50,5,FALSE
1,42,5,FALSE
1,55,5,FALSE
1,33,5,FALSE
1,36,5,FALSE
1,45,5,FALSE
1,49,5,FALSE
1,37,5,FALSE
1,22,NA,FALSE
1,51,NA,FALSE
1,45,NA,FALSE
1,42,NA,FALSE
1,49,9,FALSE
1,39,9,FALSE
1,47,9,FALSE
1,32,9,FALSE
1,35,9,FALSE
1,38,2,FALSE
1,35,2,FALSE
0,46,2,FALSE
1,44,2,FALSE
1,35,2,FALSE
1,23,2,FALSE
0,34,2,FALSE
1,48,2,FALSE
1,38,2,FALSE
1,43,15,FALSE
1,53,4,FALSE
1,38,4,FALSE
1,25,4,FALSE
1,25,NA,TRUE
1,23,NA,TRUE
1,24,NA,TRUE
1,28,6,FALSE
0,42,9,FALSE
1,29,9,FALSE
1,40,2,FALSE
1,38,2,FALSE
1,50,15,FALSE
1,33,3,FALSE
1,30,3,FALSE
1,28,3,FALSE
1,51,3,FALSE
1,21,12,FALSE
1,53,12,FALSE
1,40,12,FALSE
1,34,12,FALSE
0,41,12,FALSE
1,33,12,FALSE
0,50,12,FALSE
1,47,12,FALSE
1,43,12,FALSE
1,36,12,FALSE
1,29,12,FALSE
1,34,12,FALSE
0,43,12,FALSE
1,39,NA,FALSE
1,27,NA,FALSE
0,58,NA,FALSE
1,42,NA,FALSE
0,57,NA,FALSE
1,25,1,FALSE
1,23,1,FALSE
0,63,1,FALSE
1,44,1,FALSE
1,39,13,FALSE
0,23,13,FALSE
1,28,3,FALSE
1,30,3,FALSE
1,45,NA,FALSE
1,39,NA,FALSE
0,52,NA,FALSE
1,37,NA,FALSE
1,29,NA,FALSE
1,36,NA,FALSE
1,24,NA,FALSE
1,31,NA,FALSE
1,48,NA,FALSE
1,57,NA,FALSE
1,47,14,FALSE
1,39,14,FALSE
0,46,NA,FALSE
1,42,NA,FALSE
1,53,NA,FALSE
1,41,NA,FALSE
0,48,NA,FALSE
1,54,8,FALSE
1,34,8,FALSE
0,45,6,FALSE
1,43,6,FALSE
1,39,7,FALSE
0,45,7,FALSE
1,27,7,FALSE
0,64,15,FALSE
1,26,15,FALSE
1,26,15,FALSE
1,39,15,FALSE
1,29,15,FALSE
1,55,NA,FALSE
1,20,NA,FALSE
1,42,NA,FALSE
1,34,NA,FALSE
1,28,NA,FALSE
1,33,NA,FALSE
1,38,10,FALSE
1,39,10,FALSE
1,32,NA,FALSE
0,56,NA,FALSE
1,47,NA,FALSE
1,58,NA,FALSE
1,40,10,FALSE
0,46,10,FALSE
1,44,10,FALSE
0,29,10,FALSE
1,28,6,FALSE
1,37,6,FALSE
1,25,6,FALSE
1,23,6,FALSE
1,46,6,FALSE
1,35,6,FALSE
0,53,3,FALSE
1,49,3,FALSE
1,56,3,FALSE
1,46,3,FALSE
1,27,3,FALSE
1,52,3,FALSE
0,41,3,FALSE
1,28,NA,FALSE
1,25,2,FALSE
1,41,2,FALSE
1,19,2,FALSE
1,35,2,FALSE
1,39,2,FALSE
1,29,9,FALSE
1,36,9,FALSE
0,57,9,FALSE
1,31,9,FALSE
1,47,9,FALSE
1,37,10,FALSE
1,53,10,FALSE
1,41,4,FALSE
1,48,4,FALSE
1,22,4,FALSE
1,22,8,FALSE
1,33,8,FALSE
1,21,8,FALSE
1,21,8,FALSE
1,28,8,FALSE
1,51,8,FALSE
0,48,5,FALSE
1,43,3,FALSE
1,40,3,FALSE
1,52,3,FALSE
1,32,3,FALSE
1,53,3,FALSE
1,23,3,FALSE
1,48,3,FALSE
1,46,3,FALSE
1,43,3,FALSE
1,25,7,FALSE
1,49,1,FALSE
0,45,1,FALSE
1,39,NA,FALSE
1,40,NA,FALSE
1,22,NA,FALSE
1,32,NA,FALSE
1,29,13,FALSE
0,40,NA,FALSE
1,39,NA,FALSE
0,39,NA,FALSE
0,41,NA,FALSE
0,47,5,FALSE
1,31,5,FALSE
0,48,4,FALSE
1,28,4,FALSE
1,24,4,FALSE
1,34,4,FALSE
1,22,4,FALSE
1,52,4,FALSE
1,42,4,FALSE
1,50,NA,FALSE
1,34,NA,FALSE
0,50,NA,FALSE
1,41,NA,FALSE
1,41,3,FALSE
0,58,3,FALSE
1,33,3,FALSE
0,52,5,FALSE
1,37,5,FALSE
1,33,5,FALSE
1,38,5,FALSE
0,39,5,FALSE
1,40,3,FALSE
1,32,3,FALSE
1,37,3,FALSE
1,54,3,FALSE
1,51,3,FALSE
0,42,3,FALSE
1,32,3,FALSE
1,49,NA,FALSE
1,21,NA,FALSE
1,34,NA,FALSE
1,42,NA,FALSE
1,39,NA,FALSE
1,36,NA,FALSE
1,34,NA,FALSE
1,47,NA,FALSE
1,36,NA,FALSE
0,43,5,FALSE
1,35,5,FALSE
0,44,5,FALSE
1,38,5,FALSE
1,34,13,FALSE
1,45,13,FALSE
0,62,13,FALSE
1,43,13,FALSE
1,42,7,TRUE
1,30,7,TRUE
1,41,7,TRUE
0,45,7,TRUE
1,25,7,FALSE
1,25,7,FALSE
1,33,7,FALSE
0,46,7,FALSE
1,34,4,FALSE
0,56,4,FALSE
1,43,4,FALSE
1,53,12,FALSE
1,23,12,FALSE
0,48,12,FALSE
1,35,12,FALSE
1,37,12,FALSE
0,47,NA,FALSE
1,28,NA,FALSE
1,22,NA,FALSE
1,33,NA,FALSE
0,55,NA,FALSE
1,36,11,FALSE
1,47,11,FALSE
1,27,11,FALSE
1,52,11,FALSE
1,23,11,FALSE
0,34,11,FALSE
1,37,10,FALSE
1,50,NA,FALSE
0,51,NA,FALSE
1,24,NA,FALSE
1,46,3,FALSE
1,26,3,FALSE
1,24,3,FALSE
1,40,9,FALSE
1,48,9,FALSE
1,48,NA,FALSE
0,52,NA,FALSE
1,37,NA,FALSE
1,55,NA,FALSE
1,26,NA,FALSE
1,28,1,FALSE
1,29,1,FALSE
1,49,1,FALSE
1,24,8,FALSE
1,41,8,FALSE
1,43,8,FALSE
1,28,NA,FALSE
1,40,NA,FALSE
1,42,NA,FALSE
1,19,NA,FALSE
1,26,NA,FALSE
1,25,14,FALSE
1,33,14,FALSE
1,40,14,FALSE
1,34,14,FALSE
1,33,14,FALSE
1,25,NA,FALSE
0,36,NA,FALSE
1,23,NA,FALSE
1,48,NA,FALSE
1,44,NA,FALSE
1,53,NA,FALSE
1,44,15,FALSE
1,30,15,FALSE
0,50,15,FALSE
0,52,15,FALSE
1,45,15,FALSE
1,51,15,FALSE
1,25,8,FALSE
1,38,8,FALSE
1,30,8,FALSE
1,46,10,FALSE
0,49,10,FALSE
1,23,10,FALSE
1,26,NA,FALSE
0,57,NA,FALSE
1,26,NA,FALSE
1,30,3,FALSE
1,31,3,FALSE
0,43,NA,FALSE
1,33,NA,FALSE
1,33,NA,FALSE
0,48,NA,FALSE
1,24,NA,FALSE
1,58,2,FALSE
1,44,2,FALSE
1,58,2,FALSE
1,21,2,FALSE
1,45,NA,FALSE
0,32,NA,FALSE
1,42,NA,FALSE
1,21,11,FALSE
1,30,11,FALSE
1,23,6,FALSE
0,37,6,FALSE
1,23,6,FALSE
1,48,6,FALSE
1,20,6,FALSE
1,23,6,FALSE
1,22,6,FALSE
1,31,6,FALSE
1,35,NA,FALSE
1,50,NA,FALSE
1,26,NA,FALSE
1,27,7,TRUE
1,41,7,TRUE
1,29,7,TRUE
1,26,7,TRUE
1,33,7,TRUE
1,48,7,TRUE
1,46,7,TRUE
0,50,13,FALSE
0,36,13,FALSE
0,33,13,FALSE
